Feature,Importance
wavelet-HLH_gldm_DependenceVariance,0.0072491203166661
lbp-3D-m1_glrlm_ShortRunEmphasis,0.0064522585543479
wavelet-LLL_glrlm_RunPercentage,0.0050536034338143
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.0048364242512933
lbp-2D_firstorder_TotalEnergy,0.0046850838566053
lbp-3D-m2_glrlm_ShortRunEmphasis,0.0045835079138538
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.0042822405061497
lbp-3D-m2_glrlm_ShortRunHighGrayLevelEmphasis,0.0041651911472175
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.0039625815779284
lbp-3D-k_firstorder_Median,0.0036495896919394
wavelet-HLL_glrlm_LongRunEmphasis,0.0036458189978426
lbp-3D-k_firstorder_RootMeanSquared,0.0036185405219459
lbp-2D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0035846253573079
lbp-2D_firstorder_Kurtosis,0.0034900929531279
gradient_firstorder_Median,0.0034061904763505
lbp-3D-m1_gldm_LargeDependenceHighGrayLevelEmphasis,0.0032964146053186
lbp-2D_firstorder_MeanAbsoluteDeviation,0.0032619690549257
lbp-2D_gldm_SmallDependenceEmphasis,0.0031182520550029
Age,0.003062578827657
wavelet-LHL_ngtdm_Coarseness,0.0030338212883127
lbp-3D-m1_gldm_SmallDependenceHighGrayLevelEmphasis,0.0029692272281766
wavelet-LLL_glszm_LargeAreaEmphasis,0.0029669235642887
lbp-3D-m1_glrlm_ShortRunHighGrayLevelEmphasis,0.0028592152404702
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.0027854784633238
wavelet-LLL_glrlm_LongRunEmphasis,0.0026793794085504
lbp-3D-m1_glrlm_ShortRunLowGrayLevelEmphasis,0.0026789662420804
wavelet-LHH_gldm_DependenceVariance,0.002635576613936
lbp-3D-m1_firstorder_Kurtosis,0.0024553161884789
log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.0024280978894502
lbp-3D-k_glszm_SizeZoneNonUniformityNormalized,0.0024249431778011
lbp-3D-k_glcm_Contrast,0.0024173049796501
wavelet-LLL_gldm_GrayLevelNonUniformity,0.0023684740867885
